lat,lon,verify,verify_meaning,host_unit,area_m2
42.680644,-74.071068,1,positively identified,Dhg,14.2
42.678803,-74.073981,1,positively identified,Dhg,66.8
42.677652,-74.113053,1,positively identified,Dhg,21.9
42.667363,-74.103854,1,positively identified,Don,10.2
42.644975,-74.019974,2,unable to identify,Don,40.0
42.637889,-74.005749,1,positively identified,Don,84.0
42.598301,-73.940394,1,positively identified,Dhg,17.1
42.587195,-73.982385,1,positively identified,Don,10.1
42.584646,-73.967697,1,positively identified,Don,16.0
42.582981,-73.90609,1,positively identified,Dhg,441.6
42.577378,-73.965651,1,positively identified,Don,191.2
42.567165,-73.881638,1,positively identified,Dhg,41.0
42.555716,-73.872061,1,positively identified,Dhg,18.8
42.553645,-73.866922,1,positively identified,Dhg,33.1
42.539687,-73.867479,1,positively identified,Dhg,60.9
42.704772,-74.226853,1,positively identified,Dhg,217.5
42.68425,-74.125676,1,positively identified,Dhg,487.2
42.682356,-74.210446,1,positively identified,Dhg,13.8
42.664283,-74.202716,2,unable to identify,Dhg,13.3
42.652603,-74.162408,1,positively identified,Don,75.3
42.470541,-73.832267,1,positively identified,Dhg,17.6
42.463586,-73.855827,2,unable to identify,Don,17.1
