lat,lon,verify,verify_meaning,host_unit,area_m2
42.742878,-74.426264,1,positively identified,Dhg,18.5
42.72806,-74.448767,1,positively identified,Don,42.2
42.727128,-74.431678,1,positively identified,Dhg,522.3
42.722168,-74.433161,1,positively identified,Dhg,19.3
42.719826,-74.410913,1,positively identified,Dhg,33.6
42.70954,-74.379901,1,positively identified,Dhg,21.1
42.709032,-74.392377,2,unable to identify,Dhg,51.1
42.696461,-74.376655,1,positively identified,Dhg,20.1
42.694712,-74.377787,1,positively identified,Dhg,175.9
42.691916,-74.473716,1,positively identified,Don,12.8
42.674784,-74.446392,1,positively identified,Don,23.5
42.623116,-74.337538,1,positively identified,Dhg,38.7
42.711406,-74.268791,1,positively identified,Dhg,17.2
42.654313,-74.328139,1,positively identified,Dhg,22.6
42.643412,-74.331466,1,positively identified,Dhg,10.9
42.634608,-74.354224,1,positively identified,Don,17.3
42.630866,-74.328684,2,unable to identify,Dhg,17.6
42.782676,-74.595553,1,positively identified,Dhg,13.3
