fid,USGS_ID,Date_Min,Date_Max,Fatalities,Confidence,LS_Type,Inventory,Inv_URL,Info_Source,Notes,Lat_N,Lon_W,State,Feature,Glyph
90486,pt90486,1938/09/21 00:00:00,,0,5,Rockslide,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"New York Times, 1938","Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Landslides caused by the rain from The Great Hurricane of 1938 closed Henry Hudson Drive between Alpine and the boat basin, estimated location.",40.9457206050001,-73.92016108,NY,point,🛘
90487,pt90487,1999/09/05 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,Asbury Park Press,Dataset also contains information about landslide causes and impacts. Aerial photo. Fossil digging. A 36 year old man was seriously injured when he was buried alive in a landslide while digging for fossils in a 45 foot embankment along Big Brook. Estimated location.,40.365394431,-74.099368418,NJ,point,🛘
90488,pt90488,1896/04/18 00:00:00,,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Boroson, 1993","Dataset also contains information about landslide causes and impacts. Aerial photo. Weathering. A large boulder fell on the south side of the Blackledge Kearney House, it has an inscription on it that the rock fell on April 18, 1896.",40.946682987,-73.918856642,NY,point,🛘
90489,pt90489,2005/03/01 00:00:00,2005/03/31 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"NJDOT, 2006",Dataset also contains information about landslide causes and impacts. GPS. Weathering. Rockfall in road cut.,40.883301933,-74.656595576,NJ,point,🛘
90490,pt90490,2007/04/16 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Hanlon, 2007","Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Retaining wall collapse during heavy rain deposited rock and debris in the Doric Apartments parking lot, $225,000 in damages, estimated location.",40.7521581340001,-74.0376429519999,NJ,point,🛘
90491,pt90491,2011/08/28 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,Palisades Interstate Park Commission,"Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. Debris flow of mud, rock and trees triggered by Tropical Storm Irene. Temporary road closure of River Rd. up to one week.",40.9134959780001,-73.930438587,NY,point,🛘
90492,pt90492,1942/01/01 00:00:00,1942/12/31 00:00:00,0,5,Rockslide,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Tofani, 2005","Dataset also contains information about landslide causes and impacts. GPS. Weathering. Rockslide blocked the main rail line near Johnsonburg train station, track eventually redug and rerouted.",40.969855985,-74.880189553,NJ,point,🛘
90493,pt90493,2014/04/01 00:00:00,2014/04/30 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJDOT,"Dataset also contains information about landslide causes and impacts. Air Photo. Weathering. Small rockfall along Rt. 78 west in Bethlehem Township, estimated location.",40.6500811930001,-75.02267412,NJ,point,🛘
90494,pt90494,2000/08/27 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Misseck and Tyrrell, 2000","Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Construction site related landslide during heavy rains on Rt. 22, estimated location.",40.637847144,-74.423046109,NJ,point,🛘
90495,pt90495,1977/11/01 00:00:00,1977/11/30 00:00:00,0,5,Slump,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Minard, J.P., 1974",Dataset also contains information about landslide causes and impacts. Heavy rain. Landslide after heavy rain.,40.407278009,-74.0019613869999,NJ,point,🛘
90496,pt90496,2000/01/01 00:00:00,2000/12/31 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Szeglin, 2005","Dataset also contains information about landslide causes and impacts. Aerial photo. Weathering. Roadway damage, estimated location.",40.901933489,-73.935589799,NY,point,🛘
90497,pt90497,1988/01/01 00:00:00,1988/12/31 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"NJDOT, 2006",Dataset also contains information about landslide causes and impacts. GPS. Weathering. Small rockfall.,40.831285989,-73.974297764,NJ,point,🛘
90498,pt90498,1999/01/01 00:00:00,1999/12/31 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Epstein, 2001",Dataset also contains information about landslide causes and impacts. GPS. Road construction removed toe. Rock fall partially blocked Old Mine Road.,41.0193173700001,-75.064707599,NJ,point,🛘
90499,pt90499,2001/03/01 00:00:00,2001/03/31 00:00:00,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"NJDOT, 2006",Dataset also contains information about landslide causes and impacts. GPS. Weathering. Small rockfall.,40.8615609170001,-73.9756962979999,NJ,point,🛘
90500,pt90500,2011/08/28 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Debris flow along Owassa Rd.,41.1634737200001,-74.8024951629999,NJ,point,🛘
90501,pt90501,2007/04/15 18:43:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Travers, 2007","Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Landslide after heavy rain on Farnham Ave., some property damage, backyard covered in mud, 50 families displaced.",40.87855483,-74.093523405,NJ,point,🛘
90502,pt90502,2007/04/15 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,Palisades Interstate Park-NJ-Section,"Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Heavy rain triggered a landslide on Henry Hudson Drive which was closed for one month, damage to road and retaining walls.",40.9219013150001,-73.927501992,NY,point,🛘
90503,pt90503,1941/03/05 00:00:00,,0,5,Rockslide,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"New York Times, 1941","Dataset also contains information about landslide causes and impacts. GPS. Weathering. A boulder and rocks fell from the hillside blocking traffic on Holland Street for eight hours. Another rockslide in 1916 nearby, estimated location.",40.745037284,-74.0422389139999,NJ,point,🛘
90504,pt90504,2013/11/29 00:00:00,,0,5,Rockslide,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,Echoes Sentinel,"Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain/weathering. A portion of the cliff face behind the Watchung Department of Public Works (DPW) garage on Somerset Street slid off the mountain sometime during the overnight on Thanksgiving night, and crushed an old DPW truck. No one was hurt.",40.6346462450001,-74.446241715,NJ,point,🛘
90505,pt90505,2007/04/15 00:00:00,,0,5,Rockfall,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Koloff, 2007, Lindsay 2007","Dataset also contains information about landslide causes and impacts. Aerial photo. Heavy rain. A car was damaged when it ran into a landslide as it fell onto Rt. 80 westbound near the Delaware River after heavy rain, Rt 80 WB closed, estimated location.",40.971030135,-75.131136908,NJ,point,🛘
90506,pt90506,1996/01/18 00:00:00,,0,5,Slump,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,"Haydon, 1996","Dataset also contains information about landslide causes and impacts. Aerial photo. Construction. A 40-foot-high slope slid during road construction, undermining Old Bridge Turnpike, between Tices Lane and Edgeboro Road, the road was closed.",40.4611130160001,-74.3998224539999,NJ,point,🛘
90507,pt90507,2007/04/15 00:00:00,,0,5,Debris flow,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,Palisades Interstate Park-NJ-Section,"Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Heavy rain triggered a landslide on Henry Hudson Drive which was closed for one month, damage to road and retaining walls.",40.922669942,-73.926959768,NY,point,🛘
90508,pt90508,2007/04/15 00:00:00,,0,5,Slump,NJ GS,https://www.state.nj.us/dep/njgs/geodata/dgs06-3.htm,NJGS Files,Dataset also contains information about landslide causes and impacts. GPS. Heavy rain. Slump during heavy rain along the shoulder of the SB lanes of Rt. 287 during heavy rain.,40.679980463,-74.59963064,NJ,point,🛘
