fid,USGS_ID,Date_Min,Date_Max,Fatalities,Confidence,LS_Type,Inventory,Inv_URL,Info_Source,Notes,Lat_N,Lon_W,County,Geom
189682.0,pt189682,,,,3,debris flow,USGS Conterminous,https://pubs.usgs.gov/mf/1999/2329/,,This catalog represents a significant effort to compile the locations of known debris flows in the United States.,42.2854638810001,-73.5414837,Columbia,point
189683.0,pt189683,,,,3,debris flow,USGS Conterminous,https://pubs.usgs.gov/mf/1999/2329/,,This catalog represents a significant effort to compile the locations of known debris flows in the United States.,42.1299182500001,-73.5734958909999,Columbia,point
189684.0,pt189684,,,,3,debris flow,USGS Conterminous,https://pubs.usgs.gov/mf/1999/2329/,,This catalog represents a significant effort to compile the locations of known debris flows in the United States.,42.2172457020001,-74.003535487,Greene,point
189685.0,pt189685,,,,3,debris flow,USGS Conterminous,https://pubs.usgs.gov/mf/1999/2329/,,This catalog represents a significant effort to compile the locations of known debris flows in the United States.,42.190032059,-74.1235296369999,Greene,point
189686.0,pt189686,,,,3,debris flow,USGS Conterminous,https://pubs.usgs.gov/mf/1999/2329/,,This catalog represents a significant effort to compile the locations of known debris flows in the United States.,42.143554583,-74.144190755,Greene,point
189687.0,pt189687,,,,3,debris flow,USGS Conterminous,https://pubs.usgs.gov/mf/1999/2329/,,This catalog represents a significant effort to compile the locations of known debris flows in the United States.,42.751739824,-73.793658062,Albany,point
189691.0,pt189691,,,,3,debris flow,USGS Conterminous,https://pubs.usgs.gov/mf/1999/2329/,,This catalog represents a significant effort to compile the locations of known debris flows in the United States.,42.611493238,-74.4117515419999,Schoharie,point
189694.0,pt189694,,,,3,debris flow,USGS Conterminous,https://pubs.usgs.gov/mf/1999/2329/,,This catalog represents a significant effort to compile the locations of known debris flows in the United States.,42.8501059370001,-74.091528027,Schenectady,point
190010.0,pt190010,2014/05/15 09:00:00,,0,2,landslide,NASA,https://maps.nccs.nasa.gov/arcgis/apps/MapAndAppGallery/index.html?appid=574f26408683485799d02e857e5d9521,The Daily Mail,"A landslide that closed Route 42 in the ""Notch"" between the towns of Lexington and Shandaken in Greene and Ulster counties has been cleared, allowing the road to reopen Wednesday. New York State Department of Transportation crews were summoned to the scene last Thursday morning when a 50-foot section of steep mountainside collapsed. Lexington and Shandaken, New York. rain. medium.",42.1633,-74.4086,Greene,point
190400.0,pt190400,2015/04/20 00:00:00,,0,2,landslide,NASA,https://maps.nccs.nasa.gov/arcgis/apps/MapAndAppGallery/index.html?appid=574f26408683485799d02e857e5d9521,FOX23,"Part of Albany County is still under a state of emergency after a piece of land more than 200 yards wide slid down the embankment on the Bethlehem side and caused a blockage of the Normans Kill. Crews have dug a trench and brought in pipes to get water flowing again, but they are still working on finding a cause. Bethlehem Town Supervisor John Clarkson said the Normanside Country Club, which owns that side of the creek, was doing grading work. Capital Hills, Normanside Country Club, Normans Kill. construction. medium.",42.6404000000001,-73.8216,Albany,point
191015.0,pt191015,2016/06/08 09:00:00,,0,2,rock_fall,NASA,https://maps.nccs.nasa.gov/arcgis/apps/MapAndAppGallery/index.html?appid=574f26408683485799d02e857e5d9521,WNYT,The Hotalings narrowly missed a rock slide. The boulders were so big and heavy they dented the newly laid pavement and one cracked the just constructed fence. Albany County Rail Trail. small.,42.6267,-73.8514,Albany,point
191556.0,pt191556,2013/06/16 00:00:00,,0,2,mudslide,NASA,https://maps.nccs.nasa.gov/arcgis/apps/MapAndAppGallery/index.html?appid=574f26408683485799d02e857e5d9521,News10,"State Police say a mudslide occurred early Sunday on Huntersland Road in Middleburgh, closing the road and giving the flood-stricken town another setback. The mudslide occurred at approximately 12 a.m. Sunday, pouring debris down into the street below. Crews worked to fix the issue as quickly as possible. Police said the nearest detour is a 30 mile distance from the access road, making it difficult for emergency vehicles to respond. Crews returned to the scene on Monday to reassess the area and safety factor. ""When we returned this morning there was about another couple dozen trees that slide down the slope and the mud was deeper across the road. About 18 inches deep,"" said the Schoharie County Commissioner of Public Works Dan Crandell. ""The trees leaning on trees that have slid down the slope here. You can't tell when the earth's going to give way or more trees are going to slide."" (2ND ARTICLE) The cleanup continues in Schoharie County after last weeks flash flooding caused a big mud. Huntersland Rd, Middleburgh, Ny. rain. small.",42.5889000000001,-74.3199999999999,Schoharie,point
193404.0,pt193404,2018/01/28 00:59:59,,0,5,mudslide,NASA,https://maps.nccs.nasa.gov/arcgis/apps/MapAndAppGallery/index.html?appid=574f26408683485799d02e857e5d9521,The Daily Gazette,"Landslide occurred at 1:15 am. 11 people evacuated, 1 person trapped in home and injured. Homes on and near Nott Terrace were impacted by the slide, and some will need to be demolished. 15 Barney St, Schenectady, New York, 12307. rain. medium.",42.810379604,-73.93702161,Schenectady,point
193496.0,pt193496,2017/11/17 00:00:00,,0,2,landslide,NASA,https://maps.nccs.nasa.gov/arcgis/apps/MapAndAppGallery/index.html?appid=574f26408683485799d02e857e5d9521,Hudson Valley 360,"The bank behind the Sons and Daughters of Italy has been stabilized after a landslide. An emergency channel was built to prevent water from backing up in the Claverack Creek, officials said. The creek was previously blocked by the slide, which measured 300-by-100 yards, police said Friday. Bridge St, Hudson, NY. medium. The article suggests this was the second landslide at this location, with the first one occurring in 2006.",42.2521750000001,-73.755759,Columbia,point
193562.0,pt193562,1968/05/29 04:00:01,,0,2,landslide,NASA,https://maps.nccs.nasa.gov/arcgis/apps/MapAndAppGallery/index.html?appid=574f26408683485799d02e857e5d9521,Department of Environmental Conservation New York,"12410, Big Indian, New York. rain. small. Still very fresh and visible with only minor brush growing back due to extreme slope grade.",41.9908951360001,-74.353090471,Ulster,point
