date_iso,date_precision,place,category,observation,value,signal_type,source,confidence,notes
1891-04-27,day,"Coeymans Hollow, NY (base of the Helderberg escarpment)",cultivation,"Potatoes planted (5 barrels)",,phenology-activity,"G. L. Palmer farm diary, reprinted in The News-Herald (Ravena) May 23 1985",C,"Growing-season activity marker; ground workable, planting underway."
1891-04-29,day,"Coeymans Hollow, NY",cultivation,"Corn-ground plowing begun (M.T. lot)",,phenology-activity,"G. L. Palmer farm diary (1985 reprint)",C,"Spring field prep; corn not yet planted."
1891-05-04,day,"Coeymans Hollow, NY",frost,"Hard frost at night",,climate-extreme,"G. L. Palmer farm diary (1985 reprint)",C,"Start of a late-spring hard-frost sequence."
1891-05-05,day,"Coeymans Hollow, NY",freeze,"Ice ~1/4 inch formed",~0.25 in ice,climate-extreme,"G. L. Palmer farm diary (1985 reprint)",C,"Quarter-inch ice = a sharp late-spring freeze for early May."
1891-05-06,day (approx),"Coeymans Hollow, NY",snow/frost,"Hard snow squall; strawberries covered against frost at night","snow squall (May)",climate-extreme,"G. L. Palmer farm diary (1985 reprint)",C,"Diarist covered strawberries -> plants in leaf/fruit and frost-vulnerable; a damaging growing-season frost. Exact day May 5-6 (OCR-ambiguous)."
1891-05-07,day (approx),"Coeymans Hollow, NY",precipitation,"Squally with rain at night",,context,"G. L. Palmer farm diary (1985 reprint)",C,"Unsettled tail of the cold spell."
1891-05-08,day,"Coeymans Hollow, NY",precipitation,"Light rain (sprinkled) at night",,context,"G. L. Palmer farm diary (1985 reprint)",C,
1891-05-11,day,"Coeymans Hollow, NY",temperature-extreme,"Very warm day, 90 F in shade",~90 F (shade air, informal),climate-extreme,"G. L. Palmer farm diary (1985 reprint)",C,"Early-season heat spike ~6 days after the hard frost/ice - a sharp cold-to-heat swing."
1891-05-12,day,"Coeymans Hollow, NY",cultivation,"Sweet corn planted; cooler at night",,phenology-activity,"G. L. Palmer farm diary (1985 reprint)",C,"Sweet-corn planting date; frost risk judged past by the diarist."
1891-05-13,day,"Coeymans Hollow, NY",dryness,"'Getting very dry'",,context,"G. L. Palmer farm diary (1985 reprint)",C,"Rapid dry-down after the wet cold spell."
1891-05-06,day (approx),"Coeymans Hollow, NY",derived-metric,"Last observed spring frost/freeze of 1891 (this record)","~May 5-6, 1891",climate-signal,"Derived from G. L. Palmer farm diary (1985 reprint)",C,"A LATE last-spring frost. Diary window is late Apr - mid May only, so this is 'last frost in the observed window', not a full-season confirmation."
