Date,MaxT,MaxT_Normal,MaxT_Dep,MinT,MinT_Normal,MinT_Dep,AvgT,AvgT_Normal,AvgT_Dep,AtObsT,Precip,Precip_Normal,Precip_Dep,Snow,Snow_Normal,Snow_Dep,SnowDepth,HDD,HDD_Normal,HDD_Dep,CDD,CDD_Normal,CDD_Dep,GDD50
1978-07-01,M,82.4,M,M,59.2,M,M,70.8,M,M,0.00,M,M,M,M,M,M,M,0.4,M,M,6.2,M,M
1978-07-02,M,82.6,M,M,59.4,M,M,71.0,M,54,M,M,M,M,M,M,M,M,0.3,M,M,6.3,M,M
1978-07-03,M,82.8,M,M,59.5,M,M,71.2,M,56,0.00,M,M,M,M,M,M,M,0.3,M,M,6.5,M,M
1978-07-04,M,82.9,M,M,59.7,M,M,71.3,M,52,1.75,M,M,M,M,M,M,M,0.3,M,M,6.6,M,M
1978-07-05,M,83.1,M,M,59.8,M,M,71.4,M,54,0.32,M,M,M,M,M,M,M,0.3,M,M,6.7,M,M
1978-07-06,M,83.2,M,M,59.9,M,M,71.6,M,62,0.00,M,M,M,M,M,M,M,0.2,M,M,6.8,M,M
1978-07-07,M,83.4,M,M,60.0,M,M,71.7,M,65,0.00,M,M,M,M,M,M,M,0.2,M,M,6.9,M,M
1978-07-08,M,83.5,M,M,60.1,M,M,71.8,M,65,0.00,M,M,M,M,M,M,M,0.2,M,M,7.0,M,M
1978-07-09,M,83.6,M,M,60.2,M,M,71.9,M,M,0.00,M,M,M,M,M,M,M,0.2,M,M,7.1,M,M
1978-07-10,M,83.7,M,M,60.3,M,M,72.0,M,68,0.00,M,M,M,M,M,M,M,0.2,M,M,7.1,M,M
1978-07-11,M,83.8,M,M,60.4,M,M,72.1,M,62,0.04,M,M,M,M,M,M,M,0.2,M,M,7.2,M,M
1978-07-12,M,83.9,M,M,60.4,M,M,72.1,M,57,0.00,M,M,M,M,M,M,M,0.2,M,M,7.3,M,M
1978-07-13,M,83.9,M,M,60.5,M,M,72.2,M,60,0.00,M,M,M,M,M,M,M,0.1,M,M,7.4,M,M
1978-07-14,M,84.0,M,M,60.6,M,M,72.3,M,64,0.02,M,M,M,M,M,M,M,0.1,M,M,7.4,M,M
1978-07-15,M,84.0,M,M,60.6,M,M,72.3,M,66,0.04,M,M,M,M,M,M,M,0.1,M,M,7.5,M,M
1978-07-16,M,84.1,M,M,60.6,M,M,72.4,M,66,0.00,M,M,M,M,M,M,M,0.1,M,M,7.5,M,M
