Date,MaxT,MaxT_Normal,MaxT_Dep,MinT,MinT_Normal,MinT_Dep,AvgT,AvgT_Normal,AvgT_Dep,AtObsT,Precip,Precip_Normal,Precip_Dep,Snow,Snow_Normal,Snow_Dep,SnowDepth,HDD,HDD_Normal,HDD_Dep,CDD,CDD_Normal,CDD_Dep,GDD50
1948-05-01,M,60.9,M,M,40.5,M,M,50.7,M,M,0.24,0.13,0.11,0.0,0.0,0.0,0,M,14.4,M,M,0.1,M,M
1948-05-02,M,61.3,M,M,40.9,M,M,51.1,M,M,0.00,0.12,-0.12,0.0,0.0,0.0,0,M,14.0,M,M,0.1,M,M
1948-05-03,M,61.7,M,M,41.3,M,M,51.5,M,M,0.00,0.12,-0.12,0.0,0.0,0.0,0,M,13.6,M,M,0.1,M,M
1948-05-04,M,62.1,M,M,41.7,M,M,51.9,M,M,0.00,0.12,-0.12,0.0,0.0,0.0,0,M,13.2,M,M,0.1,M,M
1948-05-05,M,62.5,M,M,42.1,M,M,52.3,M,M,0.00,0.13,-0.13,0.0,0.0,0.0,0,M,12.9,M,M,0.1,M,M
1948-05-06,M,62.8,M,M,42.5,M,M,52.6,M,M,0.00,0.12,-0.12,0.0,0.1,-0.1,0,M,12.5,M,M,0.1,M,M
1948-05-07,M,63.1,M,M,42.8,M,M,53.0,M,M,0.00,0.11,-0.11,0.0,0.0,0.0,0,M,12.2,M,M,0.2,M,M
1948-05-08,M,63.5,M,M,43.2,M,M,53.3,M,M,0.88,0.11,0.77,0.0,0.0,0.0,0,M,11.8,M,M,0.2,M,M
1948-05-09,M,63.8,M,M,43.6,M,M,53.7,M,M,T,0.11,-0.11,0.0,0.0,0.0,0,M,11.5,M,M,0.2,M,M
1948-05-10,M,64.1,M,M,43.9,M,M,54.0,M,M,T,0.12,-0.12,0.0,0.0,0.0,0,M,11.2,M,M,0.2,M,M
1948-05-11,M,64.4,M,M,44.3,M,M,54.3,M,M,0.25,0.12,0.13,0.0,0.0,0.0,0,M,10.9,M,M,0.2,M,M
