Date,MaxT,MaxT_Normal,MaxT_Dep,MinT,MinT_Normal,MinT_Dep,AvgT,AvgT_Normal,AvgT_Dep,AtObsT,Precip,Precip_Normal,Precip_Dep,Snow,Snow_Normal,Snow_Dep,SnowDepth,HDD,HDD_Normal,HDD_Dep,CDD,CDD_Normal,CDD_Dep,GDD50
2009-03-09,M,M,M,M,M,M,M,M,M,32,T,M,M,0.1,M,M,M,M,M,M,M,M,M,M
2009-03-10,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-11,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-12,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-13,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-14,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-15,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-16,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-17,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-18,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-19,M,M,M,M,M,M,M,M,M,37,0.20,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-20,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-22,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-23,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-24,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-26,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-27,M,M,M,M,M,M,M,M,M,35,0.24,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-28,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-29,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-30,M,M,M,M,M,M,M,M,M,39,0.58,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-03-31,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-01,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-02,M,M,M,M,M,M,M,M,M,40,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-03,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-04,M,M,M,M,M,M,M,M,M,40,0.78,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-05,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-06,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-07,M,M,M,M,M,M,M,M,M,36,0.32,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-08,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-09,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-10,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-11,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-12,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-13,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-14,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-15,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-16,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-17,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-18,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-19,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-20,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-21,M,M,M,M,M,M,M,M,M,40,0.40,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-22,M,M,M,M,M,M,M,M,M,46,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-23,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-24,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-25,M,M,M,M,M,M,M,M,M,48,0.07,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-26,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-27,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-28,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-29,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-04-30,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-01,M,M,M,M,M,M,M,M,M,52,0.27,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-02,M,M,M,M,M,M,M,M,M,46,0.10,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-03,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-04,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-05,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-06,M,M,M,M,M,M,M,M,M,48,0.20,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-07,M,M,M,M,M,M,M,M,M,54,0.50,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-08,M,M,M,M,M,M,M,M,M,49,0.07,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-09,M,M,M,M,M,M,M,M,M,53,0.12,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-10,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-11,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-12,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-13,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-14,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-15,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-16,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-17,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-18,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-19,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-20,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-22,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-23,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-24,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-26,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-27,M,M,M,M,M,M,M,M,M,48,0.45,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-28,M,M,M,M,M,M,M,M,M,56,0.05,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-29,M,M,M,M,M,M,M,M,M,52,0.55,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-30,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-05-31,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-01,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-02,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-03,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-04,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-05,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-06,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-07,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-08,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-09,M,M,M,M,M,M,M,M,M,55,0.35,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-10,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-11,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-12,M,M,M,M,M,M,M,M,M,63,0.80,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-13,M,M,M,M,M,M,M,M,M,59,0.08,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-14,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-15,M,M,M,M,M,M,M,M,M,56,0.07,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-16,M,M,M,M,M,M,M,M,M,55,0.25,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-17,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-18,M,M,M,M,M,M,M,M,M,55,0.07,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-19,M,M,M,M,M,M,M,M,M,62,1.81,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-20,M,M,M,M,M,M,M,M,M,63,0.03,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-22,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-23,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-24,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-25,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-26,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-27,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-28,M,M,M,M,M,M,M,M,M,60,0.15,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-29,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-06-30,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-07-01,M,M,M,M,M,M,M,M,M,59,0.42,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-07-02,M,M,M,M,M,M,M,M,M,63,0.14,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-07-03,M,M,M,M,M,M,M,M,M,61,0.08,M,M,M,M,M,M,M,M,M,M,M,M,M
2009-07-04,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
