Date,MaxT,MaxT_Normal,MaxT_Dep,MinT,MinT_Normal,MinT_Dep,AvgT,AvgT_Normal,AvgT_Dep,AtObsT,Precip,Precip_Normal,Precip_Dep,Snow,Snow_Normal,Snow_Dep,SnowDepth,HDD,HDD_Normal,HDD_Dep,CDD,CDD_Normal,CDD_Dep,GDD50
1955-08-01,M,83.4,M,65,61.0,4.0,M,72.2,M,93,0.00,0.15,-0.15,0.0,0.0,0.0,0,M,0.1,M,M,7.3,M,M
1955-08-02,M,83.4,M,67,60.9,6.1,M,72.2,M,91,0.00,0.15,-0.15,0.0,0.0,0.0,0,M,0.1,M,M,7.3,M,M
1955-08-03,M,83.3,M,59,60.9,-1.9,M,72.1,M,94,0.00,0.14,-0.14,0.0,0.0,0.0,0,M,0.1,M,M,7.2,M,M
1955-08-04,M,83.2,M,60,60.8,-0.8,M,72.0,M,M,0.00,0.15,-0.15,0.0,0.0,0.0,0,M,0.1,M,M,7.2,M,M
1955-08-05,M,83.2,M,72,60.7,11.3,M,72.0,M,M,0.00,0.16,-0.16,0.0,0.0,0.0,0,M,0.1,M,M,7.1,M,M
1955-08-06,M,83.1,M,67,60.7,6.3,M,71.9,M,91,0.00,0.15,-0.15,0.0,0.0,0.0,0,M,0.2,M,M,7.1,M,M
1955-08-07,M,83.0,M,71,60.6,10.4,M,71.8,M,87,0.04,0.15,-0.11,0.0,0.0,0.0,0,M,0.2,M,M,7.0,M,M
1955-08-08,M,83.0,M,56,60.5,-4.5,M,71.7,M,78,0.02,0.14,-0.12,0.0,0.0,0.0,0,M,0.2,M,M,7.0,M,M
1955-08-09,M,82.9,M,48,60.4,-12.4,M,71.7,M,82,0.00,0.15,-0.15,0.0,0.0,0.0,0,M,0.2,M,M,6.9,M,M
1955-08-10,85,82.8,2.2,47,60.3,-13.3,66.0,71.6,-5.6,82,0.00,0.14,-0.14,0.0,0.0,0.0,0,0,0.3,-0.3,1,6.8,-5.8,16
1955-08-11,83,82.7,0.3,67,60.2,6.8,75.0,71.5,3.5,70,2.16,0.13,2.03,0.0,0.0,0.0,0,0,0.3,-0.3,10,6.8,3.2,25
1955-08-12,74,82.7,-8.7,65,60.1,4.9,69.5,71.4,-1.9,68,0.30,0.13,0.17,0.0,0.0,0.0,0,0,0.3,-0.3,5,6.7,-1.7,20
1955-08-13,79,82.6,-3.6,65,60.0,5.0,72.0,71.3,0.7,77,1.38,0.14,1.24,0.0,0.0,0.0,0,0,0.3,-0.3,7,6.6,0.4,22
1955-08-14,89,82.5,6.5,69,59.9,9.1,79.0,71.2,7.8,86,0.03,0.13,-0.10,0.0,0.0,0.0,0,0,0.3,-0.3,14,6.5,7.5,29
1955-08-15,90,82.4,7.6,69,59.8,9.2,79.5,71.1,8.4,88,0.02,0.14,-0.12,0.0,0.0,0.0,0,0,0.3,-0.3,15,6.4,8.6,30
1955-08-16,89,82.3,6.7,69,59.7,9.3,79.0,71.0,8.0,88,0.04,0.13,-0.09,0.0,0.0,0.0,0,0,0.3,-0.3,14,6.3,7.7,29
1955-08-17,88,82.2,5.8,M,59.5,M,M,70.9,M,85,0.15,0.14,0.01,0.0,0.0,0.0,0,M,0.3,M,M,6.2,M,M
1955-08-18,86,82.1,3.9,70,59.4,10.6,78.0,70.7,7.3,75,0.44,0.13,0.31,0.0,0.0,0.0,0,0,0.4,-0.4,13,6.1,6.9,28
1955-08-19,87,82.0,5.0,69,59.2,9.8,78.0,70.6,7.4,85,0.02,0.12,-0.10,0.0,0.0,0.0,0,0,0.4,-0.4,13,6.0,7.0,28
1955-08-20,91,81.9,9.1,66,59.1,6.9,78.5,70.5,8.0,90,0.00,0.13,-0.13,0.0,0.0,0.0,0,0,0.4,-0.4,14,5.9,8.1,29
1955-08-21,92,81.7,10.3,63,58.9,4.1,77.5,70.3,7.2,67,0.90,0.13,0.77,T,0.0,0.0,0,0,0.4,-0.4,13,5.8,7.2,28
1955-08-22,90,81.6,8.4,64,58.8,5.2,77.0,70.2,6.8,85,0.00,0.12,-0.12,0.0,0.0,0.0,0,0,0.4,-0.4,12,5.6,6.4,27
1955-08-23,84,81.5,2.5,60,58.6,1.4,72.0,70.0,2.0,60,0.35,0.13,0.22,0.0,0.0,0.0,0,0,0.5,-0.5,7,5.5,1.5,22
1955-08-24,76,81.3,-5.3,51,58.4,-7.4,63.5,69.9,-6.4,73,0.00,0.12,-0.12,0.0,0.0,0.0,0,1,0.5,0.5,0,5.4,-5.4,14
1955-08-25,78,81.2,-3.2,55,58.2,-3.2,66.5,69.7,-3.2,72,0.00,0.12,-0.12,0.0,0.0,0.0,0,0,0.6,-0.6,2,5.2,-3.2,17
1955-08-26,81,81.0,0.0,51,58.0,-7.0,66.0,69.5,-3.5,79,0.00,0.12,-0.12,0.0,0.0,0.0,0,0,0.6,-0.6,1,5.1,-4.1,16
1955-08-27,80,80.8,-0.8,62,57.8,4.2,71.0,69.3,1.7,73,0.10,0.12,-0.02,0.0,0.0,0.0,0,0,0.7,-0.7,6,5.0,1.0,21
1955-08-28,75,80.6,-5.6,46,57.6,-11.6,60.5,69.1,-8.6,70,0.01,0.11,-0.10,0.0,0.0,0.0,0,4,0.8,3.2,0,4.9,-4.9,11
1955-08-29,75,80.4,-5.4,41,57.3,-16.3,58.0,68.9,-10.9,71,0.00,0.11,-0.11,0.0,0.0,0.0,0,7,0.8,6.2,0,4.7,-4.7,8
1955-08-30,81,80.2,0.8,50,57.1,-7.1,65.5,68.7,-3.2,79,0.00,0.11,-0.11,0.0,0.0,0.0,0,0,0.9,-0.9,1,4.6,-3.6,16
